P62593	FOS_PNM	P00807	1
P62593	IM2_CB4_105_SM2	P00811	1
P62593	IM2	Q51400	1
P62593	IM2	P0AEB2	1
P62593	IM2	Q93PQ0	1
P62593	IM2	P39045	1
P62593	IM2_PNM	P71586	1
P62593	IM2	P18357	1
P62593	IM2	Q51504	1
P62593	IM2_PNM	G1C794	1
P62593	IM2	Q9KJY7	1
P62593	IM2	Q09HD0	1
P00811	IM2	Q51400	1
P00811	IM2	P0AEB2	1
P00811	IM2	Q93PQ0	1
P00811	IM2_BSF	P39045	1
P00811	IM2_PCZ	P71586	1
P00811	IM2_CAZ	P18357	1
P00811	IM2_CAZ	Q51504	1
P00811	IM2	G1C794	1
P00811	IM2	Q9KJY7	1
P00811	IM2	Q09HD0	1
Q51400	IM2	P0AEB2	1
Q51400	IM2_MER	Q93PQ0	1
Q51400	IM2	P39045	1
Q51400	IM2	P71586	1
Q51400	IM2_MER	P18357	1
Q51400	IM2	Q51504	1
Q51400	IM2	G1C794	1
Q51400	IM2	Q9KJY7	1
Q51400	IM2	Q09HD0	1
P0AEB2	IM2	Q93PQ0	1
P0AEB2	IM2	P39045	1
P0AEB2	IM2	P71586	1
P0AEB2	IM2	P18357	1
P0AEB2	IM2	Q51504	1
P0AEB2	IM2	G1C794	1
P0AEB2	IM2	Q9KJY7	1
P0AEB2	IM2	Q09HD0	1
Q93PQ0	IM2	P39045	1
Q93PQ0	IM2	P71586	1
Q93PQ0	IM2_MER	P18357	1
Q93PQ0	IM2	Q51504	1
Q93PQ0	IM2	G1C794	1
Q93PQ0	IM2	Q9KJY7	1
Q93PQ0	IM2	Q09HD0	1
P39045	IM2	P71586	1
P39045	IM2	P18357	1
P39045	IM2	Q51504	1
P39045	IM2	G1C794	1
P39045	IM2	Q9KJY7	1
P39045	IM2	Q09HD0	1
P71586	IM2	P18357	1
P71586	IM2	Q51504	1
P71586	IM2_PNM	G1C794	1
P71586	IM2	Q9KJY7	1
P71586	IM2	Q09HD0	1
P18357	IM2_CAZ	Q51504	1
P18357	IM2	G1C794	1
P18357	IM2	Q9KJY7	1
P18357	IM2	Q09HD0	1
Q51504	IM2_AZR	G1C794	1
Q51504	IM2	Q9KJY7	1
Q51504	IM2	Q09HD0	1
G1C794	IM2	Q9KJY7	1
G1C794	IM2	Q09HD0	1
Q9KJY7	IM2	Q09HD0	1
P62593	PNM	P00808	1
P62593	PNM	Q47066	1
P62593	PNM	P14489	1
P62593	PNM	P15555	1
P62593	PNM	P24228	1
P62593	PNM	Q8DH45	1
P00807	PNM_CED	P00808	1
P00807	PNM	Q47066	1
P00807	PNM	P14489	1
P00807	PNM	P15555	1
P00807	PNM	P24228	1
P00807	PNM	Q8DH45	1
P00807	PNM	P71586	1
P00807	PNM	G1C794	1
P00808	PNM_PCZ	Q47066	1
P00808	PNM	P14489	1
P00808	PNM	P15555	1
P00808	PNM	P24228	1
P00808	PNM	Q8DH45	1
P00808	PNM_PCZ	P71586	1
P00808	PNM	G1C794	1
Q47066	PNM	P14489	1
Q47066	PNM_CEF_CEP	P15555	1
Q47066	PNM	P24228	1
Q47066	PNM	Q8DH45	1
Q47066	PNM_PCZ	P71586	1
Q47066	PNM_AZR	G1C794	1
P14489	PNM	P15555	1
P14489	PNM	P24228	1
P14489	PNM	Q8DH45	1
P14489	PNM	P71586	1
P14489	PNM	G1C794	1
P15555	PNM	P24228	1
P15555	PNM	Q8DH45	1
P15555	PNM	P71586	1
P15555	PNM	G1C794	1
P24228	PNM	Q8DH45	1
P24228	PNM	P71586	1
P24228	PNM	G1C794	1
Q8DH45	PNM	P71586	1
Q8DH45	PNM	G1C794	1
P62593	CB4	P0AD64	1
P62593	CB4_SM2_NBF	Q9L5C8	1
P62593	CB4	Q9L5C7	1
P00811	CB4	P0AD64	1
P00811	CB4_SM2_GF4_GF1	Q9L5C8	1
P00811	CB4	Q9L5C7	1
P0AD64	CB4	Q9L5C8	1
P0AD64	CB4	Q9L5C7	1
Q9L5C8	CB4	Q9L5C7	1
Q7BWD2	TEM	P0AD64	1
P05364	PTX	P05193	1
P00811	BZB_CAZ_CLS_CEO_PCZ	Q47066	1
Q47066	CAZ	P18357	1
Q47066	CAZ_AZR	Q51504	1
P00811	NPB	Q9F663	1
P00811	AXL_PCZ	P0C5C1	1
P00811	APB_0NG	Q8FGC8	1
P00811	PCZ	P00808	1
P00811	PCZ	Q8DR59	1
P00808	PCZ	P0C5C1	1
P00808	PCZ	Q8DR59	1
Q47066	PCZ	P0C5C1	1
Q47066	PCZ	Q8DR59	1
P0C5C1	PCZ	P71586	1
P0C5C1	PCZ	Q8DR59	1
P71586	PCZ	Q8DR59	1
Q46041	AZR	Q47066	1
Q46041	AZR	Q51504	1
Q46041	AZR	G1C794	1
Q59401	WY4_WY2	P0AD64	1
Q51400	MER	P0AD64	1
Q51400	MER	Q6JP75	1
Q51400	MER	Q9L4P2	1
Q51400	MER	G3XD46	1
P0AD64	MER	Q93PQ0	1
P0AD64	MER	Q6JP75	1
P0AD64	MER	Q9L4P2	1
P0AD64	MER	P18357	1
P0AD64	MER	G3XD46	1
Q93PQ0	MER	Q6JP75	1
Q93PQ0	MER	Q9L4P2	1
Q93PQ0	MER	G3XD46	1
Q6JP75	MER	Q9L4P2	1
Q6JP75	MER	P18357	1
Q6JP75	MER	G3XD46	1
Q9L4P2	MER	P18357	1
Q9L4P2	MER	G3XD46	1
P18357	MER	G3XD46	1
P00808	CFX	Q9L5C8	1
P00808	CFX	P0AEB2	1
Q9L5C8	CFX	P0AEB2	1
P00808	BIY	P39045	1
Q47066	CEF	Q7CRA4	1
Q47066	CEF	Q8NWC2	1
P15555	CEF	Q7CRA4	1
P15555	CEF	Q8NWC2	1
Q7CRA4	CEF	Q8NWC2	1
Q9K578	MCO	O08498	1
Q9K578	MCO	P26918	1
Q9K578	MCO	P52700	1
O08498	MCO	P26918	1
O08498	MCO	P52700	1
P26918	MCO	P52700	1
P14489	MX1	P52700	1
P14489	IAP	Q93CA2	1
P14489	ZZ7	C7C422	1
P14489	ZZ7	Q5HI26	1
C7C422	ZZ7	Q5HI26	1
P30896	MA4	P0AD64	1
P30896	MA4	Q5VCA8	1
P0AD64	MA4_TBE_TSL	Q5VCA8	1
P0AD64	TBE	P94458	1
P0AD64	TBE	Q93F76	1
Q5VCA8	TBE	P94458	1
Q5VCA8	TBE	Q93F76	1
P94458	TBE	Q93F76	1
P0AD64	TAU	Q6MHT0	1
P0AD64	MXF	Q8RLA6	1
Q9L5C8	PNK	C7C422	1
P24735	NXL	P0C5C1	1
P24735	NXL	Q9EXV5	1
P0C5C1	NXL	Q9EXV5	1
P94458	L4C	O70038	1
Q93PQ0	SFR	P0C5C1	1
Q93PQ0	SFR_FPM	C7C422	1
P0C5C1	SFR	C7C422	1
Q93PQ0	FPM	P24228	1
C7C422	FPM	P24228	1
P0C5C1	DRW	Q8RLA6	1
P0C5C1	DRW	P13661	1
Q8RLA6	DRW_1S6	P13661	1
P0C5C1	AIX	P45161	1
P0C5C1	AIX	P08506	1
P0C5C1	AIX_CB9	Q8Y547	1
P45161	AIX	P08506	1
P45161	AIX	Q8Y547	1
P08506	AIX	Q8Y547	1
P0C5C1	CB9	Q51504	1
Q51504	CB9	Q8Y547	1
P0C5C1	7EP	Q93IC2	1
P39045	REZ	P39844	1
P39045	ZA3	Q7CRA4	1
P24228	AIC	P08506	1
P08506	AMV_FGA	Q54113	1
Q93IC2	NC1	Q7CRA4	1
Q93IC2	PG1	P18357	1
Q93IC2	PG1	P0A0B0	1
P18357	PG1	P0A0B0	1
P14677	BMG_TEB	Q04707	1
Q9R744	M0E	P02919	1
G3XD46	UE1	B2I0J9	1
P07062	ACA	P07061	1
P07062	ACA	Q59710	1
P07061	ACA	Q59710	1
