DB ID	Ligand ID	Ligand SMILES
P62593	FOS	c1ccc(cc1)COC(=O)NCP(=O)(O)O
P62593	IM2	[H]/N=C/NCCSC1=C(N[C@H](C1)[C@H](C=O)[C@@H](C)O)C(=O)O
P62593	SO4	[O-]S(=O)(=O)[O-]
P62593	SO4	[O-]S(=O)(=O)[O-]
P62593		
P37321	SO4	[O-]S(=O)(=O)[O-]
P62593	BHD	[C@H]([C@@H](C(=O)O)O)(C(=O)O)N
P62593	BJI	B([C@H](Cc1cccc(c1)C(=O)O)NC(=O)C)(O)O
P62593	BJP	B([C@H](Cc1cccc(c1)C(=O)O)NC(=O)Cc2ccccc2)(O)O
P62593	BJH	B([C@H](Cc1cccc(c1O)C(=O)O)NC(=O)C)(O)O
P39042		
P39042	NA	[Na+]
P39042		
P39042		
P39042		
P62593	SO4	[O-]S(=O)(=O)[O-]
P62593	PNM	CC1([C@@H](N[C@H](S1)[C@@H](C=O)NC(=O)Cc2ccccc2)C(=O)O)C
P0AEB2		
Q9R435		
Q9R435		
Q9R435		
Q9R435		
Q9R435		
Q9R435		
P52664	MES	C1COCC[NH+]1CCS(=O)(=O)[O-]
P52664	MES	C1COCC[NH+]1CCS(=O)(=O)[O-]
P39042	CL	[Cl-]
P39042	NA	[Na+]
P62593	CA	[Ca+2]
O87916	CA	[Ca+2]
P62593		
P35804	CA	[Ca+2]
P62593		
P35804	CA	[Ca+2]
P62593	IM2	[H]/N=C/NCCSC1=C(N[C@H](C1)[C@H](C=O)[C@@H](C)O)C(=O)O
P62593	K	[K+]
P62593	PO4	[O-]P(=O)([O-])[O-]
P62593	CB4	B(CNC(=O)C(=NOC(C)(C)C(=O)O)c1csc(n1)N)(O)O
P62593	K	[K+]
P62593	105	B(CNC(=O)c1c(onc1c2ccccc2Cl)C)(O)O
P62593	PO4	[O-]P(=O)([O-])[O-]
P62593	BCT	C(=O)(O)[O-]
P62593	K	[K+]
P62593	K	[K+]
P62593	PO4	[O-]P(=O)([O-])[O-]
P62593	CB4	B(CNC(=O)C(=NOC(C)(C)C(=O)O)c1csc(n1)N)(O)O
P62593	K	[K+]
