DB ID	Ligand ID	Ligand SMILES
P25910	MES	C1COCC[NH+]1CCS(=O)(=O)[O-]
P25910	NA	[Na+]
P25910	ZN	[Zn+2]
P25910	MES	C1COCC[NH+]1CCS(=O)(=O)[O-]
P25910	NA	[Na+]
P25910	ZN	[Zn+2]
P25910	061	CCCCC1=Nc2ccc(cc2C(=O)N1Cc3ccc(cc3)c4ccccc4c5[nH]nnn5)O
P25910	ZN	[Zn+2]
P25910	ZN	[Zn+2]
P00807	CO3	C(=O)([O-])[O-]
P00807	SO4	[O-]S(=O)(=O)[O-]
P62593	FOS	c1ccc(cc1)COC(=O)NCP(=O)(O)O
P04190	SO4	[O-]S(=O)(=O)[O-]
P04190	ZN	[Zn+2]
P04190	SO4	[O-]S(=O)(=O)[O-]
P04190	ZN	[Zn+2]
Q7BWD2	CEM	C(C=O)C([C@H](C(=O)O)N\C=C/C=O)O
Q7BWD2	SO4	[O-]S(=O)(=O)[O-]
Q7BWD2	TEM	C(C=O)C(CN\C=C\C=O)O
P00807	FOS	c1ccc(cc1)COC(=O)NCP(=O)(O)O
P00807		
P05364	IPP	c1cc(ccc1CC(=O)NC[P@H](=O)O)I
P05364	IPP	c1cc(ccc1CC(=O)NC[P@H](=O)O)I
P04190	ZN	[Zn+2]
P14559	ACT	CC(=O)[O-]
P62593	IM2	[H]/N=C/NCCSC1=C(N[C@H](C1)[C@H](C=O)[C@@H](C)O)C(=O)O
P62593	SO4	[O-]S(=O)(=O)[O-]
P62593	SO4	[O-]S(=O)(=O)[O-]
P52663		
Q7ATJ4	AP3	CC1([C@@H](N[C@H](S1)[C@H](C(=O)O)C(C)(C)O)C(=O)O)C
Q7ATJ4	MES	C1COCC[NH+]1CCS(=O)(=O)[O-]
P04190	BCT	C(=O)(O)[O-]
P04190	ZN	[Zn+2]
Q47066	SO4	[O-]S(=O)(=O)[O-]
P00811	BZB	B(c1cc2ccccc2s1)(O)O
P00811	BZB	B(c1cc2ccccc2s1)(O)O
P62593		
Q79MP6	MCI	c1ccc(cc1)CC[C@H](CS)C(=O)N=C(c2ccc(s2)Cn3cnnn3)C(=O)O
Q79MP6	SO4	[O-]S(=O)(=O)[O-]
Q79MP6	ZN	[Zn+2]
Q79MP6	MCI	c1ccc(cc1)CC[C@H](CS)C(=O)N=C(c2ccc(s2)Cn3cnnn3)C(=O)O
Q79MP6	ZN	[Zn+2]
Q79MP6	ACY	CC(=O)O
Q79MP6	ZN	[Zn+2]
P00807		
P00807		
P00807	SO4	[O-]S(=O)(=O)[O-]
P04190	BCT	C(=O)(O)[O-]
P04190	ZN	[Zn+2]
Q54488		
Q54488		
P37321	SO4	[O-]S(=O)(=O)[O-]
P14489		
P14489		
P14489		
P14489		
P14489	EDO	C(CO)O
P14489	KCX	C(CCNC(=O)O)C[C@@H](C(=O)O)N
P14489	SO4	[O-]S(=O)(=O)[O-]
P14489	EDO	C(CO)O
P14489	KCX	C(CCNC(=O)O)C[C@@H](C(=O)O)N
P14489	SO4	[O-]S(=O)(=O)[O-]
P14489	EDO	C(CO)O
P14489	KCX	C(CCNC(=O)O)C[C@@H](C(=O)O)N
P14489	SO4	[O-]S(=O)(=O)[O-]
P14489	EDO	C(CO)O
P14489	KCX	C(CCNC(=O)O)C[C@@H](C(=O)O)N
P14489	SO4	[O-]S(=O)(=O)[O-]
P62593	BHD	[C@H]([C@@H](C(=O)O)O)(C(=O)O)N
P62593	BJI	B([C@H](Cc1cccc(c1)C(=O)O)NC(=O)C)(O)O
P62593	BJP	B([C@H](Cc1cccc(c1)C(=O)O)NC(=O)Cc2ccccc2)(O)O
P62593	BJH	B([C@H](Cc1cccc(c1O)C(=O)O)NC(=O)C)(O)O
P62593	SO4	[O-]S(=O)(=O)[O-]
P14489		
P14489		
P14489		
P14489		
P00811	CXU	Cc1c(c(no1)c2ccccc2Cl)C(=O)N[C@H](C=O)[C@@H]3N[C@H](C(S3)(C)C)C(=O)O
P00811	CXU	Cc1c(c(no1)c2ccccc2Cl)C(=O)N[C@H](C=O)[C@@H]3N[C@H](C(S3)(C)C)C(=O)O
P00811	LOR	c1ccc(cc1)[C@H](C(=O)N[C@H](C=O)[C@H]2CCC(C(=N2)C(=O)O)Cl)N
P00811	LOR	c1ccc(cc1)[C@H](C(=O)N[C@H](C=O)[C@H]2CCC(C(=N2)C(=O)O)Cl)N
P00811	MOX	CO[C@@](C=O)([C@@H]1N=C(C(=C)CO1)C(=O)O)NC(=O)[C@H](c2ccc(cc2)O)C(=O)O
P00811	MOX	CO[C@@](C=O)([C@@H]1N=C(C(=C)CO1)C(=O)O)NC(=O)[C@H](c2ccc(cc2)O)C(=O)O
P14489	CO	[Co+2]
P14489	SO4	[O-]S(=O)(=O)[O-]
P14489	CO	[Co+2]
P14489	SO4	[O-]S(=O)(=O)[O-]
P62593	PNM	CC1([C@@H](N[C@H](S1)[C@@H](C=O)NC(=O)Cc2ccccc2)C(=O)O)C
Q46041		
Q46041		
Q46041	AZR	C[C@@H]([C@@H](C=O)NC(=O)/C(=N\OC(C)(C)C(=O)O)/c1csc(n1)N)NS(=O)(=O)O
Q46041	AZR	C[C@@H]([C@@H](C=O)NC(=O)/C(=N\OC(C)(C)C(=O)O)/c1csc(n1)N)NS(=O)(=O)O
P00811	CTB	B(CNC(=O)Cc1cccs1)(O)O
P00811	PO4	[O-]P(=O)([O-])[O-]
P00811	CTB	B(CNC(=O)Cc1cccs1)(O)O
P00811	105	B(CNC(=O)c1c(onc1c2ccccc2Cl)C)(O)O
P00811	PO4	[O-]P(=O)([O-])[O-]
P00811	105	B(CNC(=O)c1c(onc1c2ccccc2Cl)C)(O)O
P16897	SO4	[O-]S(=O)(=O)[O-]
P16897	SO4	[O-]S(=O)(=O)[O-]
Q59401	DVR	c1ccn2c(c1)cc(c2N/C(=C(\CS(=O)=O)/C=CC(=O)N)/C(=O)O)C=O
Q59401	GOL	C(C(CO)O)O
Q59401	NA	[Na+]
P00811	ETP	B(c1cccc(c1)NS(=O)(=O)c2cc(cs2)S(=O)(=O)c3ccccc3)(O)O
P00811	PO4	[O-]P(=O)([O-])[O-]
P00811	ETP	B(c1cccc(c1)NS(=O)(=O)c2cc(cs2)S(=O)(=O)c3ccccc3)(O)O
P00811	K	[K+]
P05364		
P00807	CO3	C(=O)([O-])[O-]
P00807	CED	CC1=C(N[C@H](SC1)[C@@H](C=O)NC(=O)Cc2cccs2)C(=O)O
P00807	CO3	C(=O)([O-])[O-]
P00807	SO4	[O-]S(=O)(=O)[O-]
P00807	PNM	CC1([C@@H](N[C@H](S1)[C@@H](C=O)NC(=O)Cc2ccccc2)C(=O)O)C
P00807	SO4	[O-]S(=O)(=O)[O-]
Q51400	IM2	[H]/N=C/NCCSC1=C(N[C@H](C1)[C@H](C=O)[C@@H](C)O)C(=O)O
Q51400	SO4	[O-]S(=O)(=O)[O-]
Q51400	IM2	[H]/N=C/NCCSC1=C(N[C@H](C1)[C@H](C=O)[C@@H](C)O)C(=O)O
Q51400	SO4	[O-]S(=O)(=O)[O-]
Q51400	MER	C[C@@H]1[C@@H](NC(=C1S[C@H]2C[C@H](NC2)C(=O)N(C)C)C(=O)O)[C@H](C=O)[C@@H](C)O
Q51400	SO4	[O-]S(=O)(=O)[O-]
Q51400	MER	C[C@@H]1[C@@H](NC(=C1S[C@H]2C[C@H](NC2)C(=O)N(C)C)C(=O)O)[C@H](C=O)[C@@H](C)O
Q51400	SO4	[O-]S(=O)(=O)[O-]
Q51400	SO4	[O-]S(=O)(=O)[O-]
Q51400	SO4	[O-]S(=O)(=O)[O-]
P0AEB2		
P25910	113	C[C@H]1CC2=C([C@@H](O1)OC)C(=O)c3c(cc(c(c3C(=O)O)O)O)O2
P25910	NA	[Na+]
P25910	ZN	[Zn+2]
P25910	113	C[C@H]1CC2=C([C@@H](O1)OC)C(=O)c3c(cc(c(c3C(=O)O)O)O)O2
P25910	NA	[Na+]
P25910	ZN	[Zn+2]
Q9R435		
Q9R435		
Q9R435		
Q9R435		
Q9R435		
Q9R435		
P52664	MES	C1COCC[NH+]1CCS(=O)(=O)[O-]
P52664	MES	C1COCC[NH+]1CCS(=O)(=O)[O-]
P00808	CIT	C(C(=O)O)C(CC(=O)O)(C(=O)O)O
P00808	NA	[Na+]
P00808	CIT	C(C(=O)O)C(CC(=O)O)(C(=O)O)O
P00808	NA	[Na+]
P00808	CFX	CO[C@@]1([C@@H]2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)O)NC(=O)Cc3cccs3
P00808	CFX	CO[C@@]1([C@@H]2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)O)NC(=O)Cc3cccs3
P00808	OUT	C(=O)(N)O
P00811	MOX	CO[C@@](C=O)([C@@H]1N=C(C(=C)CO1)C(=O)O)NC(=O)[C@H](c2ccc(cc2)O)C(=O)O
P00811	MOX	CO[C@@](C=O)([C@@H]1N=C(C(=C)CO1)C(=O)O)NC(=O)[C@H](c2ccc(cc2)O)C(=O)O
P00811	CAZ	CC(C)(C(=O)O)O/N=C(/c1csc(n1)N)\C(=O)N[C@H](C=O)[C@@H]2N=C(C(=C)CS2)C(=O)O
P00811	PO4	[O-]P(=O)([O-])[O-]
P00811	CAZ	CC(C)(C(=O)O)O/N=C(/c1csc(n1)N)\C(=O)N[C@H](C=O)[C@@H]2N=C(C(=C)CS2)C(=O)O
P00811	CB4	B(CNC(=O)C(=NOC(C)(C)C(=O)O)c1csc(n1)N)(O)O
P00811	PO4	[O-]P(=O)([O-])[O-]
P00811	CB4	B(CNC(=O)C(=NOC(C)(C)C(=O)O)c1csc(n1)N)(O)O
Q47066	CEF	CC(=O)OCC1=C(N[C@H](SC1)[C@@H](C=O)NC(=O)/C(=N\OC)/c2csc(n2)N)C(=O)O
Q47066	SO4	[O-]S(=O)(=O)[O-]
Q47066	CEP	COC(=O)CC1=C(N[C@H](SC1)[C@@H](C=O)NC(=O)Cc2cccs2)C(=O)O
Q47066	SO4	[O-]S(=O)(=O)[O-]
Q47066	PNM	CC1([C@@H](N[C@H](S1)[C@@H](C=O)NC(=O)Cc2ccccc2)C(=O)O)C
Q47066	SO4	[O-]S(=O)(=O)[O-]
Q47066	SO4	[O-]S(=O)(=O)[O-]
Q79MP6	ACT	CC(=O)[O-]
Q79MP6	BYS	c1ccc(cc1)C[C@@H]([C@H](Cc2ccc3c(c2)OCO3)C(=O)O)C(=O)O
Q79MP6	ZN	[Zn+2]
Q79MP6	ACT	CC(=O)[O-]
Q79MP6	BYS	c1ccc(cc1)C[C@@H]([C@H](Cc2ccc3c(c2)OCO3)C(=O)O)C(=O)O
Q79MP6	ZN	[Zn+2]
Q79MP6	ACT	CC(=O)[O-]
Q79MP6	BDS	c1cc2c(cc1C[C@@H]([C@H](Cc3ccc4c(c3)OCO4)C(=O)O)C(=O)O)OCO2
Q79MP6	ZN	[Zn+2]
Q79MP6	ACT	CC(=O)[O-]
Q79MP6	BDS	c1cc2c(cc1C[C@@H]([C@H](Cc3ccc4c(c3)OCO4)C(=O)O)C(=O)O)OCO2
Q79MP6	ZN	[Zn+2]
Q9K578	CL	[Cl-]
Q9K578	GOL	C(C(CO)O)O
Q9K578	MCO	C[C@H](CS)C(=O)N1CCC[C@@H]1C(=O)O
Q9K578	SO4	[O-]S(=O)(=O)[O-]
